Data_Zone,Council_area,SIMD2020_Rank,SIMD2020_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank
S01006506,Aberdeen City,4732,4044.5,3220,5174,5887,4724,4664,3248
S01006507,Aberdeen City,4820,4675,4481,5051,4384,2148,4602,3486
S01006508,Aberdeen City,5821,4785.5,5110,5942,5915,4200,4563.5,5342
S01006509,Aberdeen City,4205,3193,3229,3871,6401,3982,5626,4394.5
S01006510,Aberdeen City,3903,3305,3448,3049,4092,5588,3885,3736
S01006511,Aberdeen City,6231,5356,5346,5783,5410,4974,6928,5924
S01006512,Aberdeen City,5690,6269,6206,6586,6506,547,4528,4815
S01006513,Aberdeen City,6120,6387,5695,5516,6531,1490,6928,6394
S01006514,Aberdeen City,6711,6690,6658,6733,6847,1858,5507,6868
S01006515,Aberdeen City,6363,6952.5,6803,6846,6838,659,6844,6174.5
S01006516,Aberdeen City,5962,6399,5542,6852,6631,1037,4580,6570
S01006517,Aberdeen City,5772,6284.5,5324,6159,6704,931,5594,5892
S01006518,Aberdeen City,6669,6808,6851,6919,6960,1161,6792,6960
S01006519,Aberdeen City,6223,6400,6284,6776,6904,938,5628,6856
S01006520,Aberdeen City,6498,6836.5,6920,6940,6965,785,6928,6825
S01006521,Aberdeen City,6526,6947,6896.5,6952,6808,904,5889,6869
S01006522,Aberdeen City,6764,6970.5,6955,6930,6931,1385,6273,6841
S01006523,Aberdeen City,6489,5851,6373,6423,6906,2357,5000,6581
S01006524,Aberdeen City,4098,3199,2956,4161,6256,3281,6586,6240
S01006525,Aberdeen City,6067,5496,5409.5,5894,6810,2432,5803,6259.5
S01006526,Aberdeen City,2677,3202.5,3450,2897,1073,1906,5840,1454
S01006527,Aberdeen City,2074,2220,2228,2072,1360,2976,2692,3235
S01006528,Aberdeen City,3966,3854,4079,3285,3178,3717,3786,1723
S01006529,Aberdeen City,3901,3980,4557,4117,2612,3842,1432,945
S01006530,Aberdeen City,2297,2588,2360,2679,1021,5745,2494,1626.5
